ENTRY,NAME,DEFINITION,EQUATION,ENZYME,BRITE,RHEA,COMMENT,RCLASS,PATHWAY,ORTHOLOGY,MODULE,REMARK,REFERENCE
R00048,(R)-3-((R)-3-hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase,(R)-3-((R)-3-Hydroxybutanoyloxy)butanoate + H2O <=> 2 (R)-3-Hydroxybutanoate,C04546 + C00001 <=> 2 C01089,3.1.1.22,Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.1  Acting on ester bonds///   3.1.1  Carboxylic-ester hydrolases///    3.1.1.22///     R00048  (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate + H2O <=> 2 (R)-3-Hydroxybutanoate,10175,,RC00037  C01089_C04546///RC00094  C01089_C04546,rn00650: Butanoate metabolism///rn01100: Metabolic pathways,hydroxybutyrate-dimer hydrolase [EC:3.1.1.22],,,
R00049,1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase,"2 1-O-Galloyl-beta-D-glucose <=> D-Glucose + 1-O,6-O-Digalloyl-beta-D-glucose",2 C01158 <=> C00031 + C04101,2.3.1.90,"Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.3  Acyltransferases///   2.3.1  Transferring groups other than aminoacyl groups///    2.3.1.90///     R00049  2 1-O-Galloyl-beta-D-glucose <=> D-Glucose + 1-O,6-O-Digalloyl-beta-D-glucose",11419,,RC00041  C01158_C04101///RC00055  C00031_C01158,,,,,
R00052,chloride:hydrogen-peroxide oxidoreductase,Hydrogen peroxide + Alkane + Hydrochloric acid <=> RCl + 2 H2O,C00027 + C01371 + C01327 <=> C01334 + 2 C00001,1.11.1.10,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.11  Acting on a peroxide as acceptor///   1.11.1  Peroxidases///    1.11.1.10///     R00052  Hydrogen peroxide + Alkane + Hydrochloric acid <=> RCl + 2 H2O,,,RC02324  C01334_C01371,,,,,
R00053,digallate acylhydrolase;///tannin acylhydrolase,Digallate + H2O <=> 2 Gallate,C01572 + C00001 <=> 2 C01424,3.1.1.20,Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.1  Acting on ester bonds///   3.1.1  Carboxylic-ester hydrolases///    3.1.1.20///     R00053  Digallate + H2O <=> 2 Gallate,16368,,RC00475  C01424_C01572///RC00476  C01424_C01572,,,,,
R00054,orsellinate-depside hydrolase,Lecanoric acid + H2O <=> 2 Orsellinate,C02868 + C00001 <=> 2 C01839,3.1.1.40,Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.1  Acting on ester bonds///   3.1.1  Carboxylic-ester hydrolases///    3.1.1.40///     R00054  Lecanoric acid + H2O <=> 2 Orsellinate,19552,,RC00475  C01839_C02868///RC00476  C01839_C02868,,,,,
R00055,inosine:oxygen 5'-oxidoreductase,2 Inosine + Oxygen <=> 2 5'-Oxoinosine + 2 H2O,2 C00294 + C00007 <=> 2 C01993 + 2 C00001,1.1.3.28,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.1  Acting on the CH-OH group of donors///   1.1.3  With oxygen as acceptor///    1.1.3.28///     R00055  2 Inosine + Oxygen <=> 2 5'-Oxoinosine + 2 H2O,23039,"the first step of two-step reaction (see R05821, R00055+R05822)///subsequently R05822",RC00450  C00294_C01993,,,,,
R00056,dinucleotide nucleotidohydrolase,Dinucleotide + H2O <=> 2 Mononucleotide,C01910 + C00001 <=> 2 C02171,3.6.1.-,Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.6  Acting on acid anhydrides///   3.6.1  In phosphorus-containing anhydrides///    3.6.1.-///     R00056  Dinucleotide + H2O <=> 2 Mononucleotide,,general reaction,RC00002  C01910_C02171,,ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9],,,
R00057,thiol:oxygen oxidoreductase,Oxygen + 2 R'C(R)SH <=> R'C(R)S-S(R)CR' + Hydrogen peroxide,C00007 + 2 C01525 <=> C02318 + C00027,1.8.3.2,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.8  Acting on a sulfur group of donors///   1.8.3  With oxygen as acceptor///    1.8.3.2///     R00057  Oxygen + 2 R'C(R)SH <=> R'C(R)S-S(R)CR' + Hydrogen peroxide,17360,,RC00946  C01525_C02318///RC02755  C00007_C00027,,,,,
R00058,"catechol:oxygen oxidoreductase;///1,2-benzenediol:oxygen oxidoreductase",Oxygen + 2 Catechol <=> 2 o-Benzoquinone + 2 H2O,C00007 + 2 C00090 <=> 2 C02351 + 2 C00001,1.10.3.1///1.14.18.1,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.10  Acting on diphenols and related substances as donors///   1.10.3  With oxygen as acceptor///    1.10.3.1///     R00058  Oxygen + 2 Catechol <=> 2 o-Benzoquinone + 2 H2O///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.18  With another compound as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.18.1///     R00058  Oxygen + 2 Catechol <=> 2 o-Benzoquinone + 2 H2O",21635,,RC00180  C00090_C02351,,,,,
R00059,N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase,N-(6-Aminohexanoyl)-6-aminohexanoate + H2O <=> 2 6-Aminohexanoate,C01255 + C00001 <=> 2 C02378,3.5.1.46,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.5  Acting on carbon-nitrogen bonds, other than peptide bonds///   3.5.1  In linear amides///    3.5.1.46///     R00059  N-(6-Aminohexanoyl)-6-aminohexanoate + H2O <=> 2 6-Aminohexanoate",21367,,RC00090  C01255_C02378///RC00096  C01255_C02378,rn00930: Caprolactam degradation///rn01120: Microbial metabolism in diverse environments,6-aminohexanoate-oligomer exohydrolase [EC:3.5.1.46],,,
R00060,"sulochrin:oxygen oxidoreductase (cyclizing, (+)-specific)",Oxygen + 2 Sulochrin <=> 2 (+)-Bisdechlorogeodin + 2 H2O,C00007 + 2 C00495 <=> 2 C03036 + 2 C00001,1.21.3.4,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.21  Catalysing the reaction X-H + Y-H = X-Y///   1.21.3  With oxygen as acceptor///    1.21.3.4///     R00060  Oxygen + 2 Sulochrin <=> 2 (+)-Bisdechlorogeodin + 2 H2O,24095,,RC02323  C00495_C03036,,,,,
R00061,"sulochrin:oxygen oxidoreductase (cyclizing, (-)-specific)",Oxygen + 2 Sulochrin <=> 2 (-)-Bisdechlorogeodin + 2 H2O,C00007 + 2 C00495 <=> 2 C03040 + 2 C00001,1.21.3.5,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.21  Catalysing the reaction X-H + Y-H = X-Y///   1.21.3  With oxygen as acceptor///    1.21.3.5///     R00061  Oxygen + 2 Sulochrin <=> 2 (-)-Bisdechlorogeodin + 2 H2O,22619,,RC02323  C00495_C03040,,,,,
R00062,bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase,2 Bilirubin-glucuronoside <=> Bilirubin + Bilirubin beta-diglucuronide,2 C03374 <=> C00486 + C05787,,,16888,,RC00523  C00486_C03374  C03374_C05787,,,,,
R00063,"1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase;///1-O-(4-hydroxy-3,5-dimethoxycinnamoyl)-beta-D-glucoside:1-O-(4-hydroxy-3,5-dimethoxycinnamoyl-beta-D-glucoside 1-O-sinapoyltransferase","2 1-O-Sinapoyl-beta-D-glucose <=> 1,2-Bis-O-sinapoyl-beta-D-glucose + D-Glucose",2 C01175 <=> C04275 + C00031,2.3.1.103,"Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.3  Acyltransferases///   2.3.1  Transferring groups other than aminoacyl groups///    2.3.1.103///     R00063  2 1-O-Sinapoyl-beta-D-glucose <=> 1,2-Bis-O-sinapoyl-beta-D-glucose + D-Glucose",22667,,RC00055  C00031_C01175  C01175_C04275,,,,,
R00066,"6,7-dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase","2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil",2 C04332 <=> C00255 + C04732,2.5.1.9,"Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.5  Transferring alkyl or aryl groups, other than methyl groups///   2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date)///    2.5.1.9///     R00066  2 6,7-Dimethyl-8-(D-ribityl)lumazine <=> Riboflavin + 5-Amino-6-(1-D-ribitylamino)uracil",20775,,RC00958  C00255_C04332///RC00960  C04332_C04732,rn00740: Riboflavin metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01240: Biosynthesis of cofactors,riboflavin synthase [EC:2.5.1.9],"Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD///Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD",,
R00067,reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing),2 e- + 2 H+ <=> Hydrogen,2 C05359 + 2 C00080 <=> C00282,1.18.6.1,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.18  Acting on iron-sulfur proteins as donors///   1.18.6  With dinitrogen as acceptor///    1.18.6.1///     R00067  2 e- + 2 H+ <=> Hydrogen,,"a part of multi-step reaction (see R05185, R00002+R00067+R00153+R02802+R04782)",,,,,,
R00068,L-ascorbate:oxygen oxidoreductase,Oxygen + 2 Ascorbate <=> 2 Dehydroascorbate + 2 H2O,C00007 + 2 C00072 <=> 2 C05422 + 2 C00001,1.10.3.3,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.10  Acting on diphenols and related substances as donors///   1.10.3  With oxygen as acceptor///    1.10.3.3///     R00068  Oxygen + 2 Ascorbate <=> 2 Dehydroascorbate + 2 H2O,30246,,RC00092  C00072_C05422,rn00053: Ascorbate and aldarate metabolism///rn01100: Metabolic pathways,L-ascorbate oxidase [EC:1.10.3.3],,,
R00069,4-imidazolone-5-propanoate:oxygen oxidoreductase,Hydantoin-5-propionate + Hydrogen peroxide <=> 4-Imidazolone-5-propanoate + Oxygen + H2O,C05565 + C00027 <=> C03680 + C00007 + C00001,1.14.13.-///1.17.3.2,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.13  With NADH or NADPH as one donor, and incorporation of one atom of oxygen into the other donor///    1.14.13.-///     R00069  Hydantoin-5-propionate + Hydrogen peroxide <=> 4-Imidazolone-5-propanoate + Oxygen + H2O///  1.17  Acting on CH or CH2 groups///   1.17.3  With oxygen as acceptor///    1.17.3.2///     R00069  Hydantoin-5-propionate + Hydrogen peroxide <=> 4-Imidazolone-5-propanoate + Oxygen + H2O",,,RC00969  C03680_C05565///RC02755  C00007_C00027,rn00340: Histidine metabolism,,,,
R00070,D-urobilinogen:oxygen oxidoreductase,2 D-Urobilinogen + Oxygen <=> 2 D-Urobilin + 2 H2O,2 C05791 + C00007 <=> 2 C05795 + 2 C00001,,,,non-enzymatic,RC01983  C05791_C05795,rn00860: Porphyrin metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites,,,,
R00072,thiamine-aldehyde:oxygen 5-oxidoreductase,Thiamine aldehyde + Oxygen + H2O <=> Hydrogen peroxide + Thiamine acetic acid,C05856 + C00007 + C00001 <=> C00027 + C02892,1.1.3.23,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.1  Acting on the CH-OH group of donors///   1.1.3  With oxygen as acceptor///    1.1.3.23///     R00072  Thiamine aldehyde + Oxygen + H2O <=> Hydrogen peroxide + Thiamine acetic acid,,"second step of two-step reaction (see R02132, R00033+R00072)///following after R00033",RC00080  C02892_C05856///RC02755  C00007_C00027,rn00730: Thiamine metabolism///rn01100: Metabolic pathways,,,,1  [PMID:2988447]
R00073,reduced acceptor:prostaglandin G2 oxidoreductase,Prostaglandin H2 + Acceptor + H2O <=> Prostaglandin G2 + Reduced acceptor,C00427 + C00028 + C00001 <=> C05956 + C00030,1.14.99.1,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.14  Acting on paired donors, with incorporation or reduction of molecular oxygen///   1.14.99  Miscellaneous///    1.14.99.1///     R00073  Prostaglandin H2 + Acceptor + H2O <=> Prostaglandin G2 + Reduced acceptor",,"the latter part (peroxidase) of multi-step reaction (see R01599, R01590+R00073)///following after R01590",RC00982  C00427_C05956,rn00590: Arachidonic acid metabolism///rn01100: Metabolic pathways,prostaglandin-endoperoxide synthase 1 [EC:1.14.99.1]///prostaglandin-endoperoxide synthase 2 [EC:1.14.99.1],,,
R00074,2-aminophenol:oxygen oxidoreductase (dimerizing),4 2-Aminophenol + 3 Oxygen <=> 2 2-Aminophenoxazin-3-one + 6 H2O,4 C01987 + 3 C00007 <=> 2 C02161 + 6 C00001,1.10.3.4,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.10  Acting on diphenols and related substances as donors///   1.10.3  With oxygen as acceptor///    1.10.3.4///     R00074  4 2-Aminophenol + 3 Oxygen <=> 2 2-Aminophenoxazin-3-one + 6 H2O,40966,multi-step reaction (see R08762+R08763),RC00767  C01987_C02161///RC02319  C01987_C02161,rn00380: Tryptophan metabolism///rn01100: Metabolic pathways,grixazone synthase / o-aminophenol oxidase [EC:1.10.3.15 1.10.3.4]///o-aminophenol oxidase [EC:1.10.3.4],,,1  [PMID:14298835]
R00075,S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase,3 S-Adenosyl-L-methionine <=> 3 5'-Methylthioadenosine + Nicotianamine,3 C00019 <=> 3 C00170 + C05324,2.5.1.43,"Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.5  Transferring alkyl or aryl groups, other than methyl groups///   2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date)///    2.5.1.43///     R00075  3 S-Adenosyl-L-methionine <=> 3 5'-Methylthioadenosine + Nicotianamine",16484,multi-step reaction,RC00021  C00019_C00170,rn00270: Cysteine and methionine metabolism///rn00999: Biosynthesis of various plant secondary metabolites///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites,nicotianamine synthase [EC:2.5.1.43],"Mugineic acid biosynthesis, methionine => 3-epihydroxymugineic acid",,
R00076,ATP:phosphorylase-b phosphotransferase;///ATP:[glycogen phosphorylase] phosphotransferase,4 ATP + 2 Phosphorylase b <=> 4 ADP + Phosphorylase a,4 C00002 + 2 C02308 <=> 4 C00008 + C02307,2.7.11.19,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.7  Transferring phosphorus-containing groups///   2.7.11  Protein-serine/threonine kinases///    2.7.11.19///     R00076  4 ATP + 2 Phosphorylase b <=> 4 ADP + Phosphorylase a,,,RC00002  C00002_C00008,,,,,
R00077,[phosphorylase a] phosphohydrolase;///[glycogen phosphorylase] phosphohydrolase,Phosphorylase a + 4 H2O <=> 2 Phosphorylase b + 4 Orthophosphate,C02307 + 4 C00001 <=> 2 C02308 + 4 C00009,3.1.3.17,Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.1  Acting on ester bonds///   3.1.3  Phosphoric-monoester hydrolases///    3.1.3.17///     R00077  Phosphorylase a + 4 H2O <=> 2 Phosphorylase b + 4 Orthophosphate,,,,,,,,
R00078,Fe(II):oxygen oxidoreductase;///Fe2+:oxygen oxidoreductase,Oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O,C00007 + 4 C14818 + 4 C00080 <=> 4 C14819 + 2 C00001,1.16.3.1,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.16  Oxidizing metal ions///   1.16.3  With oxygen as acceptor///    1.16.3.1///     R00078  Oxygen + 4 Fe2+ + 4 H+ <=> 4 Fe3+ + 2 H2O,11151,,RC02758  C14818_C14819,rn00860: Porphyrin metabolism,"ferritin heavy chain [EC:1.16.3.1]///bacterioferritin [EC:1.16.3.1]///ceruloplasmin [EC:1.16.3.1]///ferritin light chain///hephaestin [EC:1.16.3.1]///ferritin, mitochondrial [EC:1.16.3.1]///frataxin [EC:1.16.3.1]///bacterioferritin B [EC:1.16.3.1]///multicopper oxidase [EC:1.16.3.1]",,,
R00080,catechol:oxygen oxidoreductase (dimerizing),"4 Catechol + 3 Oxygen <=> 6 H2O + 2 Dibenzo[1,4]dioxin-2,3-dione",4 C00090 + 3 C00007 <=> 6 C00001 + 2 C03861,1.1.3.14///1.10.3.1,"Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.1  Acting on the CH-OH group of donors///   1.1.3  With oxygen as acceptor///    1.1.3.14///     R00080  4 Catechol + 3 Oxygen <=> 6 H2O + 2 Dibenzo[1,4]dioxin-2,3-dione///  1.10  Acting on diphenols and related substances as donors///   1.10.3  With oxygen as acceptor///    1.10.3.1///     R00080  4 Catechol + 3 Oxygen <=> 6 H2O + 2 Dibenzo[1,4]dioxin-2,3-dione",12812,"multi-step reaction///intermediate (ec 1.10.3.1, [CPD:C02351], see R00058)",RC00993  C00090_C03861///RC02318  C00090_C03861,,,,,
R00081,ferrocytochrome-c:oxygen oxidoreductase,Oxygen + 4 Ferrocytochrome c + 8 H+ <=> 4 Ferricytochrome c + 2 H2O + 4 H+,C00007 + 4 C00126 + 8 C00080 <=> 4 C00125 + 2 C00001 + 4 C00080,7.1.1.9,Enzymatic reactions [BR:br08201]/// 7. Translocase reactions///  7.1  Catalysing the translocation of protons///   7.1.1  Linked to oxidoreductase reactions///    7.1.1.9///     R00081  Oxygen + 4 Ferrocytochrome c + 8 H+ <=> 4 Ferricytochrome c + 2 H2O + 4 H+,11439,,RC00016  C00125_C00126,rn01100: Metabolic pathways,,"Cytochrome c oxidase///Cytochrome c oxidase, prokaryotes///Cytochrome c oxidase, cbb3-type",,
R00082,ferrocytochrome c2:oxygen oxidoreductase,Oxygen + 4 Ferrocytochrome c2 <=> 4 Ferricytochrome c2 + 2 H2O,C00007 + 4 C01000 <=> 4 C00997 + 2 C00001,7.1.1.9,Enzymatic reactions [BR:br08201]/// 7. Translocase reactions///  7.1  Catalysing the translocation of protons///   7.1.1  Linked to oxidoreductase reactions///    7.1.1.9///     R00082  Oxygen + 4 Ferrocytochrome c2 <=> 4 Ferricytochrome c2 + 2 H2O,,,,,,,,
R00083,benzenediol:oxygen oxidoreductase,Oxygen + 4 Benzenediol <=> 4 Semiquinone + 2 H2O,C00007 + 4 C01785 <=> 4 C05309 + 2 C00001,1.10.3.2,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.10  Acting on diphenols and related substances as donors///   1.10.3  With oxygen as acceptor///    1.10.3.2///     R00083  Oxygen + 4 Benzenediol <=> 4 Semiquinone + 2 H2O,11279,general reaction,,,,,,
R00084,porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing);///porphobilinogen ammonia-lyase (polymerizing),4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia,4 C00931 + C00001 <=> C01024 + 4 C00014,2.5.1.61,"Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.5  Transferring alkyl or aryl groups, other than methyl groups///   2.5.1  Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date)///    2.5.1.61///     R00084  4 Porphobilinogen + H2O <=> Hydroxymethylbilane + 4 Ammonia",13188,multi-step reaction,RC02317  C00931_C01024,rn00860: Porphyrin metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01120: Microbial metabolism in diverse environments///rn01240: Biosynthesis of cofactors,hydroxymethylbilane synthase [EC:2.5.1.61],"Heme biosynthesis, plants and bacteria, glutamate => heme///Siroheme biosynthesis, glutamyl-tRNA => siroheme///Heme biosynthesis, animals and fungi, glycine => heme///Heme biosynthesis, bacteria, glutamyl-tRNA => coproporphyrin III => heme",,
R00085,ATP diphosphohydrolase (phosphate-forming),ATP + 2 H2O <=> AMP + 2 Orthophosphate,C00002 + 2 C00001 <=> C00020 + 2 C00009,3.6.1.5,Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.6  Acting on acid anhydrides///   3.6.1  In phosphorus-containing anhydrides///    3.6.1.5///     R00085  ATP + 2 H2O <=> AMP + 2 Orthophosphate///IUBMB reaction hierarchy [BR:br08202]/// 3. Hydrolase reactions///  3.6.1.5///   R10443  Nucleoside triphosphate <=> Nucleoside 5'-phosphate///    R00085  ATP <=> AMP,20991,possibly two-step reaction (see R00086+R00122),RC00002  C00002_C00020,,,,,
R00086,ATP phosphohydrolase,ATP + H2O <=> ADP + Orthophosphate,C00002 + C00001 <=> C00008 + C00009,3.6.1.5///3.6.1.8///3.6.1.15///3.6.1.-///7.1.2.2,Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.6  Acting on acid anhydrides///   3.6.1  In phosphorus-containing anhydrides///    3.6.1.5///     R00086  ATP + H2O <=> ADP + Orthophosphate///    3.6.1.8///     R00086  ATP + H2O <=> ADP + Orthophosphate///    3.6.1.15///     R00086  ATP + H2O <=> ADP + Orthophosphate///    3.6.1.-///     R00086  ATP + H2O <=> ADP + Orthophosphate/// 7. Translocase reactions///  7.1  Catalysing the translocation of protons///   7.1.2  Linked to the hydrolysis of a nucleoside triphosphate///    7.1.2.2///     R00086  ATP + H2O <=> ADP + Orthophosphate///IUBMB reaction hierarchy [BR:br08202]/// 3. Hydrolase reactions///  3.6.1.5///   R02319  Nucleoside triphosphate <=> NDP///    R00086  ATP <=> ADP///  3.6.1.15///   R02319  Nucleoside triphosphate <=> NDP///    R00086  ATP <=> ADP///Overall reaction [br08210.html]/// Oxygenic photosynthesis///  R00086,13068 14676 14736 15184 20624 20855,,RC00002  C00002_C00008,rn00230: Purine metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01232: Nucleotide metabolism,adenosinetriphosphatase [EC:3.6.1.-]///apyrase [EC:3.6.1.5]///nucleoside-triphosphatase [EC:3.6.1.15]///apyrase [EC:3.6.1.5]///golgi apyrase [EC:3.6.1.5],"F-type ATPase, prokaryotes and chloroplasts///F-type ATPase, eukaryotes///V/A-type ATPase, prokaryotes///V-type ATPase, eukaryotes",,
R00087,ATP diphosphohydrolase (diphosphate-forming);///ATP pyrophosphohydrolase,ATP + H2O <=> AMP + Diphosphate,C00002 + C00001 <=> C00020 + C00013,3.6.1.8///3.6.1.9,Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.6  Acting on acid anhydrides///   3.6.1  In phosphorus-containing anhydrides///    3.6.1.8///     R00087  ATP + H2O <=> AMP + Diphosphate///    3.6.1.9///     R00087  ATP + H2O <=> AMP + Diphosphate///IUBMB reaction hierarchy [BR:br08202]/// 3. Hydrolase reactions///  3.6.1.9///   R01532  Nucleoside triphosphate <=> Nucleotide///    R00087  ATP <=> AMP,14248,,RC00002  C00002_C00020,rn00230: Purine metabolism///rn01100: Metabolic pathways///rn01232: Nucleotide metabolism,ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 [EC:3.1.4.1 3.6.1.9]///nucleoside triphosphate diphosphatase [EC:3.6.1.9],,,
