"","gene_name","KO_ID","gene_des","EC","ENTREZID","pathway_id","pathway_name","level1_pathway_name","level2_pathway_name"
"30580","TUBB4A","tubulin beta 4A class IVa [KO:K07375]","tubulin beta 4A class IVa","tubulin beta 4A class IVa [KO:K07375]","10382","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30581","TUBB8","tubulin beta 8 class VIII [KO:K07375]","tubulin beta 8 class VIII","tubulin beta 8 class VIII [KO:K07375]","347688","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30582","TUBB2B","tubulin beta 2B class IIb [KO:K07375]","tubulin beta 2B class IIb","tubulin beta 2B class IIb [KO:K07375]","347733","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30583","TUBB4B","tubulin beta 4B class IVb [KO:K07375]","tubulin beta 4B class IVb","tubulin beta 4B class IVb [KO:K07375]","10383","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30584","AGER","advanced glycosylation end-product specific receptor [KO:K19722]","advanced glycosylation end-product specific receptor","advanced glycosylation end-product specific receptor [KO:K19722]","177","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30585","HRAS","HRas proto-oncogene, GTPase [KO:K02833]","HRas proto-oncogene, GTPase","HRas proto-oncogene, GTPase [KO:K02833]","3265","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30586","KRAS","KRAS proto-oncogene, GTPase [KO:K07827]","KRAS proto-oncogene, GTPase","KRAS proto-oncogene, GTPase [KO:K07827]","3845","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30587","NRAS","NRAS proto-oncogene, GTPase [KO:K07828]","NRAS proto-oncogene, GTPase","NRAS proto-oncogene, GTPase [KO:K07828]","4893","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30588","ARAF","K08845","A-Raf proto-oncogene, serine/threonine kinase","2.7.11.1","369","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30589","BRAF","K04365","B-Raf proto-oncogene, serine/threonine kinase","2.7.11.1","673","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30590","RAF1","K04366","Raf-1 proto-oncogene, serine/threonine kinase","2.7.11.1","5894","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30591","MAP2K1","K04368","mitogen-activated protein kinase kinase 1","2.7.12.2","5604","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30592","MAP2K2","K04369","mitogen-activated protein kinase kinase 2","2.7.12.2","5605","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30593","NOX1","NADPH oxidase 1 [KO:K08008]","NADPH oxidase 1","NADPH oxidase 1 [KO:K08008]","27035","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30594","CYBB","K21421","cytochrome b-245 beta chain","1.-.-.-","1536","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30595","NOX4","K21423","NADPH oxidase 4","1.6.3.-","50507","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30596","RELA","RELA proto-oncogene, NF-kB subunit [KO:K04735]","RELA proto-oncogene, NF-kB subunit","RELA proto-oncogene, NF-kB subunit [KO:K04735]","5970","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30597","NFKB1","nuclear factor kappa B subunit 1 [KO:K02580]","nuclear factor kappa B subunit 1","nuclear factor kappa B subunit 1 [KO:K02580]","4790","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30598","NOS2","K13241","nitric oxide synthase 2","1.14.13.39","4843","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30599","PTGS2","K11987","prostaglandin-endoperoxide synthase 2","1.14.99.1","5743","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30600","TNF","tumor necrosis factor [KO:K03156]","tumor necrosis factor","tumor necrosis factor [KO:K03156]","7124","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30601","IL6","interleukin 6 [KO:K05405]","interleukin 6","interleukin 6 [KO:K05405]","3569","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30602","IL1A","interleukin 1 alpha [KO:K04383]","interleukin 1 alpha","interleukin 1 alpha [KO:K04383]","3552","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30603","IL1B","interleukin 1 beta [KO:K04519]","interleukin 1 beta","interleukin 1 beta [KO:K04519]","3553","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30604","CSF1","colony stimulating factor 1 [KO:K05453]","colony stimulating factor 1","colony stimulating factor 1 [KO:K05453]","1435","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30605","SNCA","synuclein alpha [KO:K04528]","synuclein alpha","synuclein alpha [KO:K04528]","6622","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30606","EIF2AK2","K16195","eukaryotic translation initiation factor 2 alpha kinase 2","2.7.11.1","5610","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30607","CHUK","K04467","component of inhibitor of nuclear factor kappa B kinase complex","2.7.11.10","1147","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
"30608","IKBKB","K07209","inhibitor of nuclear factor kappa B kinase subunit beta","2.7.11.10","3551","hsa05010","Alzheimer disease","Human Diseases","Neurodegenerative disease"
